vehicular accident,nasagasaan ang isang mama sa kalsada
vehicular accident,sinagasaan ng truck ang aso
vehicular accident,nabangga ang jeep
vehicular accident,binangga po ang sinasakyan namin
vehicular accident,nagkabanggaan po kami bigla
vehicular accident,a car was hit by a truck
vehicular accident,a truck crashed into a store
vehicular accident,a car hit by another car
vehicular accident,a truck was hit by another truck
vehicular accident,nagsalpukan ang dalawang kotse
vehicular accident,aksidenteng nabangga ang puno
vehicular accident,sumalpok sa puno ang kotse
vehicular accident,rumaragasa ang sasakyan at sinagasaan ang karinderya
vehicular accident,tumaob ang sasakyan
vehicular accident,sumadsad ang bus sa tulay
vehicular accident,nagmamadali kasi ang sasakyan nagasgasan ang kotse
vehicular accident,nabundol ang likod ng bus
vehicular accident,binundol ng truck ang kotse
vehicular accident,nagkabundulan ang dalawang sasakyan
